Using device: cuda
Training Simple Neural Network (SNN)...
Epoch [168/500], Loss: 0.0627
Epoch [169/500], Loss: 0.0622
Epoch [170/500], Loss: 0.0619
Epoch [171/500], Loss: 0.0615
Epoch [172/500], Loss: 0.0611
Epoch [173/500], Loss: 0.0608
Epoch [174/500], Loss: 0.0604
Epoch [175/500], Loss: 0.0601
Epoch [176/500], Loss: 0.0598
Epoch [177/500], Loss: 0.0594
Epoch [178/500], Loss: 0.0591
Epoch [179/500], Loss: 0.0587
Epoch [180/500], Loss: 0.0583
Epoch [181/500], Loss: 0.0581
Epoch [182/500], Loss: 0.0577
Epoch [183/500], Loss: 0.0574
Epoch [184/500], Loss: 0.0571
Epoch [185/500], Loss: 0.0568
Epoch [186/500], Loss: 0.0564
Epoch [187/500], Loss: 0.0562
Epoch [188/500], Loss: 0.0558
Epoch [189/500], Loss: 0.0555
Epoch [190/500], Loss: 0.0552
Epoch [191/500], Loss: 0.0549
Epoch [192/500], Loss: 0.0547
Epoch [193/500], Loss: 0.0543
Epoch [194/500], Loss: 0.0540
Epoch [195/500], Loss: 0.0537
Epoch [196/500], Loss: 0.0534
Epoch [197/500], Loss: 0.0531
Epoch [198/500], Loss: 0.0528
Epoch [199/500], Loss: 0.0526
Epoch [200/500], Loss: 0.0523
Epoch [201/500], Loss: 0.0520
Epoch [202/500], Loss: 0.0518
Epoch [203/500], Loss: 0.0514
Epoch [204/500], Loss: 0.0512
Epoch [205/500], Loss: 0.0509
Epoch [206/500], Loss: 0.0507
Epoch [207/500], Loss: 0.0504
Epoch [208/500], Loss: 0.0501
Epoch [209/500], Loss: 0.0499
Epoch [210/500], Loss: 0.0496
Epoch [211/500], Loss: 0.0493
Epoch [212/500], Loss: 0.0491
Epoch [213/500], Loss: 0.0489
Epoch [214/500], Loss: 0.0486
Epoch [215/500], Loss: 0.0483
Epoch [216/500], Loss: 0.0481
Epoch [217/500], Loss: 0.0478
Epoch [218/500], Loss: 0.0476
Epoch [219/500], Loss: 0.0474
Epoch [220/500], Loss: 0.0471
Epoch [221/500], Loss: 0.0469
Epoch [222/500], Loss: 0.0467
Epoch [223/500], Loss: 0.0465
Epoch [224/500], Loss: 0.0462
Epoch [225/500], Loss: 0.0460
Epoch [226/500], Loss: 0.0458
Epoch [227/500], Loss: 0.0455
Epoch [228/500], Loss: 0.0453
Epoch [229/500], Loss: 0.0451
Epoch [230/500], Loss: 0.0448
Epoch [231/500], Loss: 0.0447
Epoch [232/500], Loss: 0.0444
Epoch [233/500], Loss: 0.0442
Epoch [234/500], Loss: 0.0440
Epoch [235/500], Loss: 0.0438
Epoch [236/500], Loss: 0.0435
Epoch [237/500], Loss: 0.0433
Epoch [238/500], Loss: 0.0431
Epoch [239/500], Loss: 0.0429
Epoch [240/500], Loss: 0.0428
Epoch [241/500], Loss: 0.0426
Epoch [242/500], Loss: 0.0423
Epoch [243/500], Loss: 0.0422
Epoch [244/500], Loss: 0.0419
Epoch [245/500], Loss: 0.0417
Epoch [246/500], Loss: 0.0415
Epoch [247/500], Loss: 0.0414
Epoch [248/500], Loss: 0.0411
Epoch [249/500], Loss: 0.0409
Epoch [250/500], Loss: 0.0408
Epoch [251/500], Loss: 0.0405
Epoch [252/500], Loss: 0.0404
Epoch [253/500], Loss: 0.0402
Epoch [254/500], Loss: 0.0400
Epoch [255/500], Loss: 0.0398
Epoch [256/500], Loss: 0.0396
Epoch [257/500], Loss: 0.0395
Epoch [258/500], Loss: 0.0393
Epoch [259/500], Loss: 0.0391
Epoch [260/500], Loss: 0.0389
Epoch [261/500], Loss: 0.0387
Epoch [262/500], Loss: 0.0385
Epoch [263/500], Loss: 0.0383
Epoch [264/500], Loss: 0.0382
Epoch [265/500], Loss: 0.0381
Epoch [266/500], Loss: 0.0379
Epoch [267/500], Loss: 0.0377
Epoch [268/500], Loss: 0.0375
Epoch [269/500], Loss: 0.0374
Epoch [270/500], Loss: 0.0372
Epoch [271/500], Loss: 0.0370
Epoch [272/500], Loss: 0.0368
Epoch [273/500], Loss: 0.0367
Epoch [274/500], Loss: 0.0365
Epoch [275/500], Loss: 0.0363
Epoch [276/500], Loss: 0.0362
Epoch [277/500], Loss: 0.0360
Epoch [278/500], Loss: 0.0358
Epoch [279/500], Loss: 0.0357
Epoch [280/500], Loss: 0.0355
Epoch [281/500], Loss: 0.0354
Epoch [282/500], Loss: 0.0352
Epoch [283/500], Loss: 0.0350
Epoch [284/500], Loss: 0.0349
